Имя файла;Исходный путь;Конечный путь;Категория;Раздел;Подпапка;Ревизия;Тип файла;CRC;Статус
GPNG-GEP-RD-0407.000-000-PM-MDR-001_rB_RU.xlsx;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0132\GPNG-GEP-RD-0407.000-000-PM-MDR-001_rB_RU.xlsx;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.000\GPNG-GEP-RD-0407.000-000-PM-MDR\Ревизии\B\ред.формат\GPNG-GEP-RD-0407.000-000-PM-MDR-001_rB_RU.xlsx;Ранние работы;0407.000;GPNG-GEP-RD-0407.000-000-PM-MDR;B;ред.формат;2b747d42;duplicate
GPNG-GEP-RD-0407.000-000-PM-MDR-001_rC_RU.xlsx;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0134\GPNG-GEP-RD-0407.000-000-PM-MDR-001_rC_RU.xlsx;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.000\GPNG-GEP-RD-0407.000-000-PM-MDR\Ревизии\C\ред.формат\GPNG-GEP-RD-0407.000-000-PM-MDR-001_rC_RU.xlsx;Ранние работы;0407.000;GPNG-GEP-RD-0407.000-000-PM-MDR;C;ред.формат;679665b8;duplicate
GPNG-GEP-RD-0407.000-000-IF-NVK0_rА.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0135\GPNG-GEP-RD-0407.000-000-IF-NVK0_rА.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.000\GPNG-GEP-RD-0407.000-000-IF-NVK0\пдф\GPNG-GEP-RD-0407.000-000-IF-NVK0_rА.pdf;Ранние работы;0407.000;GPNG-GEP-RD-0407.000-000-IF-NVK0;;пдф;fb12726e;duplicate
GPNG-GEP-RD-0407.001-001-CI-KZ1_rA_RU.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0137\GPNG-GEP-RD-0407.001-001-CI-KZ1_rA_RU.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.001\GPNG-GEP-RD-0407.001-001-CI-KZ1\Ревизии\A\пдф\GPNG-GEP-RD-0407.001-001-CI-KZ1_rA_RU.pdf;Ранние работы;0407.001;GPNG-GEP-RD-0407.001-001-CI-KZ1;A;пдф;ae9f128d;duplicate
GPNG-GEP-RD-0407.000-000-EL-EN0_rA_RU.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0138\GPNG-GEP-RD-0407.000-000-EL-EN0_rA_RU.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.000\GPNG-GEP-RD-0407.000-000-EL-EN0\Ревизии\A\пдф\GPNG-GEP-RD-0407.000-000-EL-EN0_rA_RU.pdf;Ранние работы;0407.000;GPNG-GEP-RD-0407.000-000-EL-EN0;A;пдф;fef49441;duplicate
GPNG-GEP-RD-0407.000-000-EL-ZM0_rA_RU.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0139\GPNG-GEP-RD-0407.000-000-EL-ZM0_rA_RU.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.000\GPNG-GEP-RD-0407.000-000-EL-ZM0\Ревизии\A\пдф\GPNG-GEP-RD-0407.000-000-EL-ZM0_rA_RU.pdf;Ранние работы;0407.000;GPNG-GEP-RD-0407.000-000-EL-ZM0;A;пдф;d80b8658;duplicate
GPNG-GEP-RD-0407.794-000-PC-TX-DSH-001_rA-RU.docx;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0140\GPNG-GEP-RD-0407.794-000-PC-TX-DSH-001_rA-RU.docx;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.794\GPNG-GEP-RD-0407.794-000-PC-TX\Ревизии\A\ред.формат\GPNG-GEP-RD-0407.794-000-PC-TX-DSH-001_rA-RU.docx;Ранние работы;0407.794;GPNG-GEP-RD-0407.794-000-PC-TX;A;ред.формат;b560800e;duplicate
GPNG-GEP-RD-0407.794-000-PC-TX-DSH-001_rA-RU.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0140\GPNG-GEP-RD-0407.794-000-PC-TX-DSH-001_rA-RU.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.794\GPNG-GEP-RD-0407.794-000-PC-TX\Ревизии\A\пдф\GPNG-GEP-RD-0407.794-000-PC-TX-DSH-001_rA-RU.pdf;Ранние работы;0407.794;GPNG-GEP-RD-0407.794-000-PC-TX;A;пдф;c0d5e71a;duplicate
GPNG-GEP-RD-0407.793-000-PC-TX-DSH-001_rA-RU.docx;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0141\GPNG-GEP-RD-0407.793-000-PC-TX-DSH-001_rA-RU.docx;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.793\GPNG-GEP-RD-0407.793-000-PC-TX\Ревизии\A\ред.формат\GPNG-GEP-RD-0407.793-000-PC-TX-DSH-001_rA-RU.docx;Ранние работы;0407.793;GPNG-GEP-RD-0407.793-000-PC-TX;A;ред.формат;41b211d7;duplicate
GPNG-GEP-RD-0407.793-000-PC-TX-DSH-001_rA-RU.pdf;C:/Users/YakupovTR/Desktop/miha\GEP-ASPA-GPNG-003-TRA-0141\GPNG-GEP-RD-0407.793-000-PC-TX-DSH-001_rA-RU.pdf;C:/Users/YakupovTR/Desktop/misha\Ранние работы\0407.793\GPNG-GEP-RD-0407.793-000-PC-TX\Ревизии\A\пдф\GPNG-GEP-RD-0407.793-000-PC-TX-DSH-001_rA-RU.pdf;Ранние работы;0407.793;GPNG-GEP-RD-0407.793-000-PC-TX;A;пдф;dcd874dd;duplicate
